||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
./piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
/home/pi/Desktop/piMASS/piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
/home/pi/Desktop/piMASS/piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
/home/pi/Desktop/piMASS/gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
